from	to
link	original_link
last_name	surname
first_name	firstname
middle_name	patronym
date_birth	birthdate
place_birth	birthplace
date_birth_list	birthdate_list
lager	camp
lagernii_nomer	camp_number
date_death	death_date
mesto_zahoroneniya	burial_place
mesto_pleneniya	capture_place
data_pleneniya	capture_start_date
rank	military_rank
data_i_mesto_priziva	military_conscription_place_and_date
poslednee_mesto_sluzhbi	military_service_last_place
prichina_vibitiya	disposal_reason
mesto_vibitiya	disposal_place
data_i_pervichnoe_mesto_zahoroneniya	burial_date_and_primary_place
dolgota	longitude
dolgota_raitsentra	district_center_longitude
dop_informatsiya	additional_information
fulltextfield	fulltext_field
nazvanie_istochnika_informatsii	information_source_name
nomera_listov	sheet_numbers
nomer_dela	case_number
nomer_opisi	inventory_number
nomer_fonda	fund_number
numchilditems	child_items_number
rodstvenniki	relatives
shirota	latitude
shirota_raitsentra	district_center_latitude
tekstovie_koordinati	text_coordinates
sudba	destiny
mogila	grave
familiya_na_latinitse	latin_surname
gospital	hospital